author,content,description,publishedAt,source.name,title,url,urlToImage
weston blasi,college basketball featured arguably its biggest rivalry last night with a matchup between hoop royalties duke and north carolina the story of the night was zion williamson busting through his shoe but that wasnt the only piece of gear that people were tal 2516 chars,the internet was buzzing about his black bomber jacket with 44 on the sleeve,2019-02-21 22:24:00,marketwatch,president obamas bomber jacket was the biggest star at the dukeunc game  marketwatch,https://www.marketwatch.com/story/the-biggest-star-from-last-nights-duke-unc-game-was-president-obamas-jacket-2019-02-21,http://s.marketwatch.com/public/resources/MWimages/MW-HE382_obamaj_ZG_20190221155732.jpg
jana barnello,syracuse ny in a matter of hours syracuse mens basketball coach jim boeheim went from a celebratory win at the carrier dome to being involved in a deadly crash along i690 here is what cnycentral has learned about the timeline of events wednesday night  1546 chars,in a matter of hours syracuse menrsquos basketball coach jim boeheim went from a celebratory win at the carrier dome to being involved in a deadly crash along i690 here is what cnycentral has learned about the timeline of events wednesday night the syra,2019-02-21 21:52:28,cnycentral,boeheim timeline from big win over louisville to tragic accident on i690  cnycentralcom,https://cnycentral.com/news/local/boeheim-timeline-from-big-win-over-louisville-to-tragic-accident-on-i-690,http://static-41.sinclairstoryline.com/resources/media/cf2f0bbe-43fc-485c-b64c-1f19d67bf8ec-large16x9_BOEHEIMSTILL2.jpg?1550783828082
,the washington capitals acquired carl hagelin from the los angeles kings thursday afternoon its the second time hagelin has been traded this season in his first public comments since being dealt hagelin spoke to swedish outlet aftonbladet about his happi 1270 chars,the washington capitals acquired carl hagelin from the los angeles kings thursday afternoon its the second time hagelin has been traded this season in his first public comments since being dealt hagelin spoke to swedish outlet aftonbladet about his happi,2019-02-21 21:50:30,russianmachineneverbreaks,carl hagelin on trade to capitals im really excited  russian machine never breaks,https://russianmachineneverbreaks.com/2019/02/21/carl-hagelin-on-trade-to-capitals-im-really-excited/,https://i1.wp.com/russianmachineneverbreaks.com/wp-content/uploads/2019/02/carl-hagelin-stanley-cup-win.jpg?fit=1014%2C507&ssl=1
,,,2019-02-21 21:50:28,youtube,zion should snub nike and start a shoe war if he plays for duke again  tracy mcgrady  the jump  espn,https://www.youtube.com/watch?v=Zf3B9b4otSs,
,since his abrupt retirement from the nfl after the 2015 season calvin johnson has made it clear he doesnt miss playing football now we might have another idea why it turns out the former detroit lions wide receiver has been working behind the scenes to st 1593 chars,johnson and his wife brittney have the preliminary ok from michigans licensing board,2019-02-21 21:38:00,cbssports,former lions star calvin johnson approved for medical marijuana business in detroit  cbs sports,https://www.cbssports.com/nfl/news/former-lions-star-calvin-johnson-approved-for-medical-marijuana-business-in-detroit/,https://sportshub.cbsistatic.com/i/r/2016/06/13/e8e8e72b-58e8-4c39-b650-5ee2632cea3d/thumbnail/770x433/a7d72bb3fe76356ae6e3f17511d18f5e/calvin-johnson-orlando-shooting.jpg
,houston rockets general manager daryl morey joins colin cowherd in studio on todays show morey talks about how impressed he is with james hardens scoring ability chris pauls impact competing with the golden state warriors and why nba ownership makes the 1309 chars,houston rockets general manager daryl morey joins colin cowherd in studio on todays show morey talks about how impressed he is with james hardens scoring ,2019-02-21 21:30:35,youtube,daryl morey on james hardens historic scoring pace cp3 impact  rocketswarriors  nba  the herd  the herd with colin cowherd,https://www.youtube.com/watch?v=ShFLaKHyc98,https://i.ytimg.com/vi/ShFLaKHyc98/maxresdefault.jpg
scott lauber,clearwater fla jean segura was a top100 prospect and a likely future majorleague shortstop in other words no slouch when he went to play in the arizona fall league in 2011 yet he still recalls being slackjawed whenever he turned and saw the two young p 4165 chars,it was kind of crazy segura said of seeing harper and trout in the same outfield could it happen again someday with the phillies,2019-02-21 21:08:53,philly,bryce harper and mike trout on the same team phillies shortstop jean segura knows what that looks like  phillycom,https://www.philly.com/phillies/philadelphia-phillies-jean-segura-bryce-harper-mike-trout-mlb-20190221.html,https://www.philly.com/resizer/iqLLu_oi73ap_ti9nXlVFVIb14U=/1200x0/center/middle/www.philly.com/resizer/Wo9lumXhDL_y0y9z3ZvEEMQo29g=/1200x0/center/middle/arc-anglerfish-arc2-prod-pmn.s3.amazonaws.com/public/BN7TVXDO7JCSROCWIIPQPPRBI4.jpg
,nebraska basketball coach tim miles took to social media thursday to apologize for a flippant remark he made earlier this week about the possibility of being fired by the school the former north dakota state coach said on a podcast sunday that im still a 1279 chars,news sports opinion entertainment business lifestyle milestones obituaries and weather for fargo nd,2019-02-21 21:00:00,inforum,nebraskas tim miles a former ndsu coach apologizes for flippant millionaire remark  inforum,https://www.inforum.com/sports/basketball/974710-Nebraskas-Tim-Miles-a-former-NDSU-coach-apologizes-for-flippant-millionaire-remark,https://www.fccnn.com/incoming/974717-qxpig8-Nebraska-Cornhuskers-head-coach-Tim-Miles/alternates/BASE_LANDSCAPE/Nebraska%20Cornhuskers%20head%20coach%20Tim%20Miles
,time was when a decorated frontline closer like craig kimbrel would have long ago been snatched up from the market this however is the winter of 201819 and for a variety of reasons the free agent market isnt what it used to be in kimbrels case hes  3151 chars,theres a reason why the onceelite closer is still unsigned,2019-02-21 20:57:00,cbssports,why has craig kimbrels free agent market been so quiet numbers show his days as a lockdown closer are likely over  cbs sports,https://www.cbssports.com/mlb/news/why-has-craig-kimbrels-free-agent-market-been-so-quiet-numbers-show-his-days-as-a-lockdown-closer-are-likely-over/,https://sportshub.cbsistatic.com/i/r/2019/02/21/9bee5b1b-e0a6-4584-a910-f8d9ab02ca08/thumbnail/770x433/f7fa21c39ab24e842742684c12d2504e/craig-kimbrel.jpg
bob hohler  reporter,nick cafardo the boston globes nationally recognized and widely respected baseball columnist died thursday in fort myers fla he was 62 cafardos love of baseball and commitment to his craft compelled him to report to jetblue park the spring training ho 2561 chars,cafardo who joined the globe in 1989 was one of bostons most prominent sports reporters,2019-02-21 20:51:00,bostonglobe,veteran globe baseball writer nick cafardo dies at 62  the boston globe,https://www.bostonglobe.com/sports/2019/02/21/veteran-globe-baseball-writer-nick-cafardo-dies/2ApW3rmk8q7I5qfeOmOjfL/story.html,https://www.bostonglobe.com/rf/image_585w/Boston/2011-2020/2019/02/21/BostonGlobe.com/Sports/Images/cafardo_alt_image.jpg
