author,content,description,publishedAt,source.id,source.name,title,url,urlToImage
Weston Blasi,"College basketball featured arguably its biggest rivalry last night with a matchup between hoop royalties Duke and North Carolina. The story of the night was Zion Williamson busting through his shoe, but that wasn't the only piece of gear that people were tal… [+2516 chars]",The internet was buzzing about his black bomber jacket with ‘44’ on the sleeve,2019-02-21T22:24:00Z,,Marketwatch.com,President Obama’s bomber jacket was the biggest star at the Duke-UNC game - MarketWatch,https://www.marketwatch.com/story/the-biggest-star-from-last-nights-duke-unc-game-was-president-obamas-jacket-2019-02-21,http://s.marketwatch.com/public/resources/MWimages/MW-HE382_obamaj_ZG_20190221155732.jpg
Jana Barnello,"SYRACUSE N.Y. In a matter of hours, Syracuse men’s basketball Coach Jim Boeheim went from a celebratory win at the Carrier Dome to being involved in a deadly crash along I-690. Here is what CNYCentral has learned about the timeline of events Wednesday night. … [+1546 chars]","In a matter of hours, Syracuse men&rsquo;s basketball Coach Jim Boeheim went from a celebratory win at the Carrier Dome to being involved in a deadly crash along I-690. Here is what CNYCentral has learned about the timeline of events Wednesday night. The Syra…",2019-02-21T21:52:28Z,,Cnycentral.com,Boeheim Timeline: From big win over Louisville to tragic accident on I-690 - CNYcentral.com,https://cnycentral.com/news/local/boeheim-timeline-from-big-win-over-louisville-to-tragic-accident-on-i-690,http://static-41.sinclairstoryline.com/resources/media/cf2f0bbe-43fc-485c-b64c-1f19d67bf8ec-large16x9_BOEHEIMSTILL2.jpg?1550783828082
,"The Washington Capitals acquired Carl Hagelin from the Los Angeles Kings, Thursday afternoon. It’s the second time Hagelin has been traded this season. In his first public comments since being dealt, Hagelin spoke to Swedish outlet Aftonbladet about his happi… [+1270 chars]","The Washington Capitals acquired Carl Hagelin from the Los Angeles Kings, Thursday afternoon. It's the second time Hagelin has been traded this season. In his first public comments since being dealt, Hagelin spoke to Swedish outlet Aftonbladet about his happi…",2019-02-21T21:50:30Z,,Russianmachineneverbreaks.com,Carl Hagelin on trade to Capitals: 'I'm really excited' - Russian Machine Never Breaks,https://russianmachineneverbreaks.com/2019/02/21/carl-hagelin-on-trade-to-capitals-im-really-excited/,https://i1.wp.com/russianmachineneverbreaks.com/wp-content/uploads/2019/02/carl-hagelin-stanley-cup-win.jpg?fit=1014%2C507&ssl=1
,,,2019-02-21T21:50:28Z,,Youtube.com,Zion should snub Nike and start 'a shoe war' if he plays for Duke again - Tracy McGrady | The Jump - ESPN,https://www.youtube.com/watch?v=Zf3B9b4otSs,
,"Since his abrupt retirement from the NFL after the 2015 season, Calvin Johnson has made it clear he doesn't miss playing football. Now we might have another idea why. It turns out the former Detroit Lions wide receiver has been working behind the scenes to st… [+1593 chars]","Johnson and his wife, Brittney, have the preliminary OK from Michigan's licensing board",2019-02-21T21:38:00Z,,Cbssports.com,Former Lions star Calvin Johnson approved for medical marijuana business in Detroit - CBS Sports,https://www.cbssports.com/nfl/news/former-lions-star-calvin-johnson-approved-for-medical-marijuana-business-in-detroit/,https://sportshub.cbsistatic.com/i/r/2016/06/13/e8e8e72b-58e8-4c39-b650-5ee2632cea3d/thumbnail/770x433/a7d72bb3fe76356ae6e3f17511d18f5e/calvin-johnson-orlando-shooting.jpg
,"Houston Rockets General Manager Daryl Morey joins Colin Cowherd in studio on today's show. Morey talks about how impressed he is with James Harden's scoring ability, Chris Paul's impact, competing with the Golden State Warriors and why NBA ownership makes the… [+1309 chars]",Houston Rockets General Manager Daryl Morey joins Colin Cowherd in studio on today's show. Morey talks about how impressed he is with James Harden's scoring ...,2019-02-21T21:30:35Z,,Youtube.com,"Daryl Morey on James Harden's historic scoring pace, CP3 impact & Rockets-Warriors | NBA | THE HERD - The Herd with Colin Cowherd",https://www.youtube.com/watch?v=ShFLaKHyc98,https://i.ytimg.com/vi/ShFLaKHyc98/maxresdefault.jpg
Scott Lauber,"CLEARWATER, Fla. Jean Segura was a top-100 prospect and a likely future major-league shortstop in other words, no slouch when he went to play in the Arizona Fall League in 2011. Yet he still recalls being slack-jawed whenever he turned and saw the two young p… [+4165 chars]","""It was kind of crazy,"" Segura said of seeing Harper and Trout in the same outfield. Could it happen again someday with the Phillies?",2019-02-21T21:08:53Z,,Philly.com,Bryce Harper and Mike Trout on the same team? Phillies shortstop Jean Segura knows what that looks like - Philly.com,https://www.philly.com/phillies/philadelphia-phillies-jean-segura-bryce-harper-mike-trout-mlb-20190221.html,https://www.philly.com/resizer/iqLLu_oi73ap_ti9nXlVFVIb14U=/1200x0/center/middle/www.philly.com/resizer/Wo9lumXhDL_y0y9z3ZvEEMQo29g=/1200x0/center/middle/arc-anglerfish-arc2-prod-pmn.s3.amazonaws.com/public/BN7TVXDO7JCSROCWIIPQPPRBI4.jpg
,"Nebraska basketball coach Tim Miles took to social media Thursday to apologize for a ""flippant remark"" he made earlier this week about the possibility of being fired by the school. The former North Dakota State coach said on a podcast Sunday that ""I'm still a… [+1279 chars]","news, sports, opinion, entertainment, business, lifestyle, milestones, obituaries and weather for Fargo, ND",2019-02-21T21:00:00Z,,Inforum.com,"Nebraska's Tim Miles, a former NDSU coach, apologizes for 'flippant' millionaire remark - INFORUM",https://www.inforum.com/sports/basketball/974710-Nebraskas-Tim-Miles-a-former-NDSU-coach-apologizes-for-flippant-millionaire-remark,https://www.fccnn.com/incoming/974717-qxpig8-Nebraska-Cornhuskers-head-coach-Tim-Miles/alternates/BASE_LANDSCAPE/Nebraska%20Cornhuskers%20head%20coach%20Tim%20Miles
,"Time was when a decorated, frontline closer like Craig Kimbrel would have long ago been snatched up from the market. This, however, is the winter of 2018-19, and for a variety of reasons the free agent market isn't what it used to be. In Kimbrel's case, he's … [+3151 chars]",There's a reason why the once-elite closer is still unsigned,2019-02-21T20:57:00Z,,Cbssports.com,Why has Craig Kimbrel's free agent market been so quiet? Numbers show his days as a lockdown closer are likely over - CBS Sports,https://www.cbssports.com/mlb/news/why-has-craig-kimbrels-free-agent-market-been-so-quiet-numbers-show-his-days-as-a-lockdown-closer-are-likely-over/,https://sportshub.cbsistatic.com/i/r/2019/02/21/9bee5b1b-e0a6-4584-a910-f8d9ab02ca08/thumbnail/770x433/f7fa21c39ab24e842742684c12d2504e/craig-kimbrel.jpg
Bob Hohler - Reporter,"Nick Cafardo, the Boston Globe’s nationally recognized and widely respected baseball columnist, died Thursday in Fort Myers, Fla. He was 62. Cafardo’s love of baseball and commitment to his craft compelled him to report to JetBlue Park, the spring training ho… [+2561 chars]","Cafardo, who joined the Globe in 1989, was one of Boston’s most prominent sports reporters.",2019-02-21T20:51:00Z,,Bostonglobe.com,Veteran Globe baseball writer Nick Cafardo dies at 62 - The Boston Globe,https://www.bostonglobe.com/sports/2019/02/21/veteran-globe-baseball-writer-nick-cafardo-dies/2ApW3rmk8q7I5qfeOmOjfL/story.html,https://www.bostonglobe.com/rf/image_585w/Boston/2011-2020/2019/02/21/BostonGlobe.com/Sports/Images/cafardo_alt_image.jpg
